('-4.4', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('3.3', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.5', 'pywierden')
('0.8', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('1.5', '0', '1009.0', 'pygarage')
('24.1', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.9', '4', '1011.5', 'pywierden')
('2.7', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.5', 'pywierden')
('1.9', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.5', 'pygronau')
('18.9', '4', '1011.5', 'pywierden')
('2.7', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.5', 'pygronau')
('19.0', '4', '1011.5', 'pywierden')
('2.8', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.5', 'pygronau')
('18.9', '4', '1011.5', 'pywierden')
('2.5', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.5', 'pygronau')
('18.9', '4', '1011.0', 'pywierden')
('2.0', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.5', 'pygronau')
('18.8', '4', '1011.5', 'pywierden')
('20.5', '183', '1015.0', 'pywierden')
('-4.3', '18', '1010.0', 'pygronau')
('0.7', '39', '1013.0', 'pygarage')
('20.7', '184', '1015.0', 'pywierden')
('25.3', '129', '1010.5', 'pysaxion')
('-4.3', '17', '1010.5', 'pygronau')
('0.9', '40', '1013.0', 'pygarage')
('20.8', '188', '1015.0', 'pywierden')
('25.4', '147', '1010.5', 'pysaxion')
('-4.2', '18', '1010.0', 'pygronau')
('0.7', '43', '1013.0', 'pygarage')
('20.7', '185', '1015.0', 'pywierden')
('0.5', '44', '1013.0', 'pygarage')
('25.3', '158', '1010.5', 'pysaxion')
('-4.2', '17', '1010.5', 'pygronau')
('20.8', '191', '1015.0', 'pywierden')
('0.9', '47', '1013.0', 'pygarage')
('25.5', '160', '1010.5', 'pysaxion')
('-4.3', '16', '1010.5', 'pygronau')
('20.9', '192', '1015.0', 'pywierden')
('1.3', '42', '1013.5', 'pygarage')
('25.5', '165', '1010.5', 'pysaxion')
('-4.2', '17', '1010.5', 'pygronau')
('20.8', '193', '1015.0', 'pywierden')
('19.2', '150', '1015.0', 'pywierden')
('7.1', '0', '1008.5', 'pygarage')
('17.9', '5', '1011.0', 'pywierden')
('25.0', '72', '1006.5', 'pysaxion')
('-4.6', '0', '1007.0', 'pygronau')
('7.3', '0', '1008.0', 'pygarage')
('17.8', '5', '1011.0', 'pywierden')
('25.0', '72', '1006.5', 'pysaxion')
('-4.8', '0', '1007.0', 'pygronau')
('7.0', '0', '1008.5', 'pygarage')
('17.7', '5', '1011.0', 'pywierden')
('24.9', '72', '1006.5', 'pysaxion')
('17.8', '5', '1010.5', 'pywierden')
('24.9', '73', '1006.5', 'pysaxion')
('17.7', '5', '1010.5', 'pywierden')
('5.9', '0', '1008.5', 'pygarage')
('24.9', '72', '1006.5', 'pysaxion')
('-4.8', '0', '1006.5', 'pygronau')
('6.2', '0', '1008.5', 'pygarage')
('17.6', '5', '1010.5', 'pywierden')
('24.8', '0', '1007.5', 'pysaxion')
('-4.0', '0', '1007.5', 'pygronau')
('4.4', '0', '1010.0', 'pygarage')
('17.9', '5', '1012.0', 'pywierden')
('19.4', '167', '1013.5', 'pywierden')
('26.3', '163', '1009.0', 'pysaxion')
('-3.9', '28', '1009.0', 'pygronau')
('4.9', '22', '1011.5', 'pygarage')
('19.3', '162', '1013.5', 'pywierden')
('4.9', '30', '1011.5', 'pygarage')
('26.2', '165', '1009.0', 'pysaxion')
('-4.1', '39', '1009.0', 'pygronau')
('19.1', '167', '1013.5', 'pywierden')
('19.1', '172', '1013.5', 'pywierden')
('4.6', '40', '1011.0', 'pygarage')
('26.2', '170', '1008.5', 'pysaxion')
('-4.2', '42', '1008.5', 'pygronau')
('18.8', '184', '1013.0', 'pywierden')
('5.3', '41', '1011.0', 'pygarage')
('26.2', '161', '1008.5', 'pysaxion')
('-4.0', '31', '1008.5', 'pygronau')
('19.1', '197', '1013.0', 'pywierden')
('5.5', '31', '1011.0', 'pygarage')
('4.5', '12', '1010.5', 'pygarage')
('26.1', '140', '1008.0', 'pysaxion')
('-4.1', '17', '1008.0', 'pygronau')
('19.3', '147', '1013.0', 'pywierden')
('4.2', '16', '1010.5', 'pygarage')
('26.1', '140', '1008.0', 'pysaxion')
('-4.1', '17', '1008.0', 'pygronau')
('4.1', '20', '1010.5', 'pygarage')
('4.5', '34', '1010.5', 'pygarage')
('25.9', '138', '1008.0', 'pysaxion')
('-4.3', '8', '1008.0', 'pygronau')
('19.7', '178', '1012.5', 'pywierden')
('4.7', '49', '1010.5', 'pygarage')
('25.9', '140', '1008.0', 'pysaxion')
('-4.3', '9', '1008.0', 'pygronau')
('19.8', '173', '1012.5', 'pywierden')
('5.2', '50', '1010.5', 'pygarage')
('25.8', '132', '1008.0', 'pysaxion')
('-4.2', '8', '1008.0', 'pygronau')
('19.7', '180', '1012.5', 'pywierden')
('4.0', '49', '1010.5', 'pygarage')
('25.8', '136', '1008.0', 'pysaxion')
('-4.2', '9', '1008.0', 'pygronau')
('3.7', '37', '1010.5', 'pygarage')
('19.9', '177', '1012.5', 'pywierden')
('25.8', '150', '1008.0', 'pysaxion')
('-4.4', '12', '1008.0', 'pygronau')
('4.2', '35', '1010.5', 'pygarage')
('19.9', '162', '1012.5', 'pywierden')
('1.3', '47', '1019.0', 'pygarage')
('20.9', '202', '1021.0', 'pywierden')
('4.2', '17', '1018.0', 'pygarage')
('25.8', '153', '1016.0', 'pysaxion')
('20.2', '161', '1020.5', 'pywierden')
('20.3', '161', '1020.5', 'pywierden')
('3.7', '17', '1018.5', 'pygarage')
('25.3', '149', '1024.0', 'pysaxion')
('-5.6', '13', '1023.5', 'pygronau')
('18.6', '147', '1028.5', 'pywierden')
('2.7', '13', '1026.0', 'pygarage')
('25.3', '146', '1024.0', 'pysaxion')
('-5.4', '12', '1023.5', 'pygronau')
('1.7', '10', '1026.5', 'pygarage')
('25.4', '145', '1024.0', 'pysaxion')
('-5.5', '12', '1023.5', 'pygronau')
('1.3', '12', '1026.5', 'pygarage')
('18.7', '140', '1029.0', 'pywierden')
('25.3', '144', '1024.0', 'pysaxion')
('-5.5', '12', '1023.5', 'pygronau')
('1.4', '15', '1026.5', 'pygarage')
('25.1', '82', '1024.5', 'pysaxion')
('-5.4', '1', '1024.5', 'pygronau')
('24.9', '0', '1025.0', 'pysaxion')
('-5.5', '0', '1024.5', 'pygronau')
('1.3', '0', '1027.5', 'pygarage')
('20.2', '5', '1030.0', 'pywierden')
('24.7', '0', '1025.5', 'pysaxion')
('-5.4', '0', '1025.0', 'pygronau')
('-5.2', '25', '1019.5', 'pygronau')
('24.2', '163', '1020.0', 'pysaxion')
('17.9', '182', '1024.0', 'pywierden')
('-5.4', '0', '1014.0', 'pygronau')
('23.3', '0', '1014.5', 'pysaxion')
('5.2', '0', '1016.0', 'pygarage')
('18.3', '5', '1018.5', 'pywierden')
('-5.4', '0', '1014.0', 'pygronau')
('23.3', '0', '1014.5', 'pysaxion')
('5.5', '0', '1016.5', 'pygarage')
('18.1', '5', '1018.5', 'pywierden')
('-5.4', '0', '1014.0', 'pygronau')
('23.3', '0', '1014.5', 'pysaxion')
('5.6', '0', '1016.5', 'pygarage')
('-5.3', '0', '1014.0', 'pygronau')
('23.2', '0', '1014.5', 'pysaxion')
('5.7', '0', '1016.0', 'pygarage')
('18.3', '5', '1018.5', 'pywierden')
